segment Oklahoma
33.625 -94.491
33.625 -94.492
33.625 -94.493
33.624 -94.493
33.621 -94.505
33.617 -94.521
33.619 -94.526
33.622 -94.529
33.627 -94.53
33.63 -94.528
33.634 -94.529
33.638 -94.533
33.638 -94.538
33.638 -94.539
33.636 -94.544
33.636 -94.549
33.638 -94.553
33.642 -94.554
33.645 -94.551
33.65 -94.551
33.653 -94.552
33.657 -94.557
33.656 -94.564
33.656 -94.565
33.655 -94.569
33.655 -94.571
33.657 -94.572
33.66 -94.572
33.66 -94.571
33.663 -94.569
33.666 -94.57
33.668 -94.571
33.67 -94.573
33.673 -94.577
33.678 -94.58
33.679 -94.587
33.678 -94.59
33.674 -94.594
33.671 -94.597
33.671 -94.603
33.672 -94.607
33.675 -94.612
33.677 -94.614
33.68 -94.617
33.681 -94.621
33.678 -94.628
33.673 -94.631
33.67 -94.635
33.668 -94.643
33.669 -94.646
33.672 -94.648
33.673 -94.648
33.68 -94.648
33.681 -94.648
33.683 -94.648
33.685 -94.648
33.686 -94.649
33.688 -94.65
33.691 -94.652
33.692 -94.659
33.684 -94.685
33.685 -94.691
33.685 -94.694
33.687 -94.708
33.688 -94.71
33.692 -94.711
33.696 -94.711
33.697 -94.71
33.7 -94.709
33.706 -94.711
33.707 -94.715
33.708 -94.719
33.707 -94.722
33.706 -94.724
33.705 -94.725
33.702 -94.726
33.7 -94.728
33.7 -94.732
33.705 -94.737
33.71 -94.739
33.715 -94.738
33.716 -94.737
33.723 -94.739
33.726 -94.742
33.727 -94.743
33.729 -94.75
33.73 -94.753
33.73 -94.758
33.73 -94.759
33.732 -94.763
33.738 -94.768
33.743 -94.768
33.746 -94.767
33.748 -94.766
33.75 -94.766
33.751 -94.766
33.753 -94.768
33.754 -94.771
33.755 -94.775
33.753 -94.778
33.752 -94.78
33.746 -94.79
33.745 -94.799
33.749 -94.809
33.752 -94.812
33.752 -94.813
33.752 -94.814
33.752 -94.816
33.752 -94.817
33.751 -94.822
33.749 -94.824
33.749 -94.825
33.744 -94.826
33.741 -94.828
33.741 -94.829
33.74 -94.831
33.739 -94.842
33.74 -94.849
33.746 -94.869
33.746 -94.87
33.749 -94.875
33.752 -94.877
33.755 -94.875
33.756 -94.876
33.757 -94.876
33.761 -94.876
33.765 -94.879
33.766 -94.881
33.765 -94.885
33.765 -94.886
33.767 -94.888
33.768 -94.89
33.772 -94.895
33.776 -94.902
33.778 -94.906
33.778 -94.911
33.781 -94.914
33.786 -94.92
33.789 -94.92
33.79 -94.92
33.794 -94.92
33.802 -94.917
33.805 -94.917
33.806 -94.917
33.809 -94.918
33.81 -94.919
33.812 -94.922
33.813 -94.924
33.813 -94.925
33.813 -94.928
33.811 -94.932
33.81 -94.936
33.811 -94.94
33.812 -94.944
33.818 -94.949
33.822 -94.949
33.826 -94.95
33.835 -94.958
33.837 -94.964
33.848 -94.966
33.859 -94.968
33.861 -94.969
33.862 -94.971
33.862 -94.973
33.86 -94.976
33.852 -94.982
33.851 -94.983
33.851 -94.987
33.851 -94.988
33.852 -94.99
33.852 -94.993
33.853 -94.993
33.857 -94.996
33.863 -95
33.866 -95.008
33.861 -95.016
33.861 -95.017
33.86 -95.022
33.86 -95.03
33.86 -95.031
33.86 -95.034
33.86 -95.037
33.861 -95.039
33.863 -95.047
33.864 -95.049
33.887 -95.059
33.895 -95.061
33.9 -95.065
33.902 -95.071
33.901 -95.074
33.9 -95.075
33.898 -95.079
33.893 -95.084
33.893 -95.09
33.896 -95.094
33.899 -95.095
33.9 -95.095
33.905 -95.095
33.91 -95.098
33.912 -95.101
33.913 -95.102
33.914 -95.103
33.913 -95.111
33.916 -95.12
33.919 -95.122
33.922 -95.122
33.926 -95.122
33.931 -95.121
33.935 -95.125
33.937 -95.131
33.937 -95.132
33.936 -95.149
33.937 -95.156
33.938 -95.161
33.94 -95.167
33.942 -95.169
33.95 -95.184
33.96 -95.216
33.962 -95.219
33.962 -95.226
33.961 -95.23
33.96 -95.231
33.959 -95.232
33.937 -95.25
33.934 -95.253
33.93 -95.254
33.927 -95.253
33.924 -95.251
33.917 -95.251
33.913 -95.251
33.905 -95.253
33.903 -95.256
33.9 -95.261
33.899 -95.264
33.9 -95.267
33.902 -95.273
33.902 -95.275
33.901 -95.278
33.899 -95.28
33.897 -95.28
33.889 -95.281
33.888 -95.282
33.883 -95.282
33.878 -95.283
33.875 -95.288
33.875 -95.295
33.886 -95.326
33.886 -95.333
33.886 -95.335
33.88 -95.335
33.877 -95.335
33.87 -95.338
33.869 -95.339
33.869 -95.34
33.868 -95.352
33.868 -95.375
33.866 -95.406
33.866 -95.407
33.866 -95.408
33.866 -95.41
33.867 -95.419
33.869 -95.447
33.872 -95.461
33.872 -95.463
33.873 -95.464
33.879 -95.463
33.884 -95.462
33.886 -95.463
33.887 -95.465
33.886 -95.467
33.886 -95.47
33.88 -95.478
33.879 -95.479
33.879 -95.48
33.875 -95.492
33.875 -95.502
33.876 -95.506
33.879 -95.506
33.886 -95.506
33.89 -95.51
33.891 -95.515
33.889 -95.52
33.885 -95.525
33.882 -95.532
33.881 -95.533
33.881 -95.534
33.88 -95.54
33.88 -95.545
33.881 -95.546
33.883 -95.548
33.888 -95.552
33.889 -95.552
33.894 -95.552
33.901 -95.549
33.908 -95.549
33.915 -95.551
33.927 -95.557
33.93 -95.559
33.931 -95.56
33.932 -95.561
33.932 -95.563
33.934 -95.586
33.934 -95.6
33.927 -95.604
33.924 -95.609
33.907 -95.637
33.906 -95.647
33.909 -95.66
33.908 -95.665
33.906 -95.67
33.897 -95.677
33.89 -95.685
33.885 -95.697
33.885 -95.711
33.885 -95.714
33.887 -95.717
33.891 -95.723
33.894 -95.728
33.894 -95.729
33.896 -95.738
33.896 -95.747
33.893 -95.756
33.891 -95.758
33.89 -95.759
33.883 -95.762
33.882 -95.762
33.874 -95.763
33.873 -95.762
33.871 -95.761
33.868 -95.757
33.856 -95.754
33.854 -95.754
33.85 -95.758
33.848 -95.764
33.844 -95.772
33.844 -95.773
33.845 -95.776
33.856 -95.788
33.857 -95.788
33.857 -95.789
33.858 -95.79
33.861 -95.801
33.861 -95.805
33.859 -95.82
33.858 -95.821
33.857 -95.821
33.857 -95.822
33.855 -95.822
33.851 -95.821
33.848 -95.82
33.844 -95.819
33.843 -95.819
33.841 -95.821
33.84 -95.821
33.84 -95.822
33.839 -95.823
33.837 -95.827
33.836 -95.828
33.835 -95.832
33.836 -95.838
33.836 -95.839
33.836 -95.84
33.837 -95.841
33.839 -95.844
33.845 -95.85
33.852 -95.859
33.861 -95.881
33.864 -95.887
33.868 -95.893
33.876 -95.905
33.881 -95.916
33.884 -95.923
33.887 -95.935
33.887 -95.936
33.885 -95.937
33.882 -95.937
33.88 -95.936
33.879 -95.935
33.875 -95.935
33.874 -95.936
33.871 -95.937
33.862 -95.941
33.861 -95.942
33.86 -95.943
33.86 -95.944
33.859 -95.946
33.857 -95.952
33.856 -95.972
33.859 -95.981
33.864 -95.984
33.865 -95.985
33.867 -95.989
33.867 -95.991
33.866 -95.994
33.864 -95.997
33.862 -95.997
33.861 -95.998
33.856 -95.997
33.853 -95.998
33.852 -95.998
33.851 -95.998
33.849 -96.001
33.846 -96.005
33.841 -96.02
33.842 -96.021
33.843 -96.022
33.846 -96.023
33.849 -96.022
33.851 -96.022
33.852 -96.025
33.852 -96.029
33.851 -96.031
33.85 -96.032
33.841 -96.037
33.838 -96.044
33.836 -96.049
33.838 -96.055
33.842 -96.064
33.847 -96.085
33.848 -96.097
33.848 -96.1
33.847 -96.101
33.846 -96.101
33.844 -96.101
33.842 -96.099
33.838 -96.098
33.833 -96.097
33.83 -96.099
33.831 -96.104
33.832 -96.11
33.838 -96.118
33.84 -96.123
33.84 -96.128
33.839 -96.139
33.838 -96.147
33.838 -96.148
33.837 -96.148
33.836 -96.15
33.832 -96.152
33.819 -96.149
33.817 -96.151
33.817 -96.164
33.815 -96.176
33.814 -96.177
33.811 -96.179
33.805 -96.177
33.802 -96.175
33.801 -96.173
33.799 -96.17
33.798 -96.167
33.796 -96.162
33.789 -96.163
33.774 -96.168
33.77 -96.169
33.77 -96.17
33.764 -96.175
33.761 -96.178
33.756 -96.187
33.753 -96.196
33.752 -96.2
33.747 -96.221
33.748 -96.229
33.748 -96.23
33.754 -96.24
33.759 -96.248
33.76 -96.252
33.768 -96.27
33.77 -96.277
33.766 -96.292
33.765 -96.295
33.761 -96.297
33.758 -96.299
33.757 -96.299
33.754 -96.302
33.751 -96.303
33.747 -96.304
33.744 -96.305
33.741 -96.306
33.735 -96.307
33.727 -96.307
33.721 -96.307
33.72 -96.307
33.71 -96.31
33.703 -96.315
33.699 -96.317
33.698 -96.318
33.697 -96.319
33.695 -96.321
33.687 -96.343
33.686 -96.348
33.687 -96.355
33.687 -96.356
33.692 -96.362
33.694 -96.363
33.695 -96.363
33.701 -96.363
33.711 -96.367
33.716 -96.369
33.717 -96.37
33.718 -96.371
33.726 -96.38
33.729 -96.383
33.73 -96.384
33.746 -96.404
33.751 -96.408
33.758 -96.413
33.766 -96.416
33.769 -96.418
33.772 -96.419
33.772 -96.42
33.773 -96.42
33.776 -96.423
33.779 -96.43
33.78 -96.436
33.78 -96.439
33.781 -96.446
33.781 -96.448
33.781 -96.449
33.781 -96.451
33.78 -96.451
33.776 -96.456
33.775 -96.459
33.773 -96.486
33.773 -96.5
33.773 -96.502
33.781 -96.512
33.788 -96.516
33.797 -96.516
33.799 -96.516
33.803 -96.517
33.805 -96.517
33.811 -96.52
33.818 -96.524
33.821 -96.526
33.821 -96.527
33.822 -96.529
33.823 -96.533
33.819 -96.551
33.819 -96.566
33.819 -96.567
33.819 -96.569
33.819 -96.573
33.828 -96.587
33.831 -96.593
33.834 -96.601
33.841 -96.623
33.844 -96.627
33.845 -96.628
33.845 -96.629
33.846 -96.63
33.847 -96.63
33.848 -96.63
33.851 -96.63
33.852 -96.629
33.857 -96.625
33.869 -96.612
33.873 -96.602
33.875 -96.597
33.881 -96.59
33.884 -96.587
33.885 -96.587
33.888 -96.586
33.889 -96.585
33.891 -96.585
33.892 -96.586
33.894 -96.587
33.895 -96.588
33.895 -96.589
33.896 -96.593
33.895 -96.608
33.894 -96.628
33.895 -96.63
33.906 -96.644
33.911 -96.652
33.913 -96.654
33.917 -96.66
33.917 -96.664
33.917 -96.667
33.915 -96.671
33.912 -96.673
33.909 -96.675
33.902 -96.678
33.897 -96.681
33.896 -96.681
33.884 -96.683
33.877 -96.682
33.874 -96.682
33.873 -96.682
33.863 -96.685
33.855 -96.688
33.85 -96.691
33.849 -96.691
33.844 -96.695
33.839 -96.7
33.838 -96.7
33.837 -96.702
33.835 -96.704
33.834 -96.706
33.834 -96.707
33.833 -96.708
33.832 -96.712
33.831 -96.713
33.83 -96.72
33.826 -96.746
33.825 -96.754
33.824 -96.762
33.825 -96.766
33.827 -96.769
33.83 -96.771
33.842 -96.777
33.848 -96.777
33.858 -96.78
33.86 -96.781
33.864 -96.783
33.869 -96.794
33.87 -96.798
33.873 -96.813
33.875 -96.832
33.874 -96.834
33.871 -96.837
33.868 -96.84
33.864 -96.841
33.853 -96.842
33.849 -96.846
33.847 -96.851
33.847 -96.856
33.853 -96.866
33.861 -96.875
33.868 -96.883
33.879 -96.888
33.896 -96.896
33.903 -96.897
33.913 -96.897
33.913 -96.896
33.919 -96.897
33.934 -96.899
33.941 -96.902
33.942 -96.902
33.947 -96.905
33.95 -96.907
33.952 -96.909
33.953 -96.91
33.953 -96.911
33.954 -96.911
33.958 -96.916
33.959 -96.919
33.959 -96.92
33.959 -96.921
33.96 -96.922
33.959 -96.924
33.956 -96.932
33.955 -96.933
33.954 -96.935
33.949 -96.945
33.945 -96.952
33.936 -96.973
33.936 -96.974
33.937 -96.976
33.937 -96.977
33.938 -96.978
33.942 -96.98
33.949 -96.981
33.952 -96.981
33.955 -96.979
33.956 -96.979
33.956 -96.981
33.956 -96.982
33.956 -96.983
33.955 -96.988
33.953 -96.991
33.949 -96.994
33.948 -96.995
33.947 -96.995
33.942 -96.996
33.941 -96.996
33.935 -96.995
33.934 -96.995
33.932 -96.995
33.929 -96.994
33.918 -96.989
33.906 -96.985
33.905 -96.985
33.892 -96.984
33.888 -96.985
33.887 -96.986
33.875 -96.996
33.87 -97
33.859 -97.01
33.85 -97.018
33.844 -97.024
33.838 -97.039
33.838 -97.04
33.838 -97.041
33.839 -97.045
33.841 -97.049
33.842 -97.052
33.841 -97.055
33.84 -97.058
33.838 -97.059
33.836 -97.058
33.835 -97.058
33.831 -97.056
33.826 -97.055
33.824 -97.055
33.819 -97.059
33.816 -97.063
33.815 -97.065
33.814 -97.068
33.813 -97.079
33.809 -97.088
33.804 -97.092
33.799 -97.095
33.794 -97.095
33.789 -97.094
33.774 -97.088
33.766 -97.085
33.76 -97.085
33.753 -97.085
33.744 -97.086
33.736 -97.09
33.735 -97.091
33.731 -97.094
33.728 -97.097
33.723 -97.105
33.72 -97.109
33.719 -97.113
33.717 -97.121
33.717 -97.126
33.719 -97.138
33.722 -97.149
33.724 -97.155
33.729 -97.163
33.738 -97.172
33.738 -97.173
33.74 -97.174
33.756 -97.182
33.77 -97.188
33.781 -97.19
33.785 -97.195
33.797 -97.203
33.801 -97.205
33.81 -97.206
33.819 -97.205
33.822 -97.204
33.827 -97.2
33.83 -97.197
33.83 -97.196
33.831 -97.196
33.831 -97.194
33.831 -97.186
33.831 -97.181
33.832 -97.181
33.835 -97.172
33.84 -97.167
33.841 -97.167
33.847 -97.167
33.862 -97.171
33.892 -97.18
33.895 -97.181
33.896 -97.182
33.899 -97.184
33.901 -97.185
33.901 -97.186
33.902 -97.187
33.906 -97.194
33.911 -97.201
33.914 -97.206
33.916 -97.211
33.916 -97.213
33.915 -97.223
33.915 -97.227
33.908 -97.239
33.906 -97.242
33.903 -97.245
33.902 -97.245
33.9 -97.246
33.898 -97.246
33.875 -97.249
33.865 -97.254
33.864 -97.256
33.863 -97.257
33.863 -97.272
33.863 -97.275
33.865 -97.279
33.868 -97.284
33.869 -97.286
33.869 -97.287
33.876 -97.294
33.877 -97.295
33.88 -97.299
33.88 -97.302
33.878 -97.307
33.876 -97.309
33.873 -97.311
33.867 -97.314
33.866 -97.316
33.865 -97.318
33.865 -97.322
33.866 -97.324
33.873 -97.326
33.873 -97.327
33.874 -97.328
33.874 -97.329
33.874 -97.333
33.873 -97.337
33.87 -97.338
33.868 -97.339
33.86 -97.341
33.844 -97.348
33.83 -97.359
33.824 -97.366
33.821 -97.369
33.819 -97.373
33.819 -97.385
33.819 -97.403
33.819 -97.41
33.819 -97.426
33.824 -97.444
33.829 -97.453
33.835 -97.459
33.842 -97.463
33.85 -97.461
33.853 -97.46
33.855 -97.458
33.86 -97.456
33.869 -97.452
33.871 -97.451
33.891 -97.451
33.895 -97.454
33.902 -97.458
33.904 -97.46
33.912 -97.477
33.916 -97.484
33.917 -97.487
33.919 -97.494
33.919 -97.495
33.92 -97.501
33.914 -97.519
33.912 -97.525
33.907 -97.533
33.906 -97.534
33.901 -97.543
33.898 -97.552
33.897 -97.555
33.897 -97.558
33.897 -97.561
33.901 -97.583
33.902 -97.587
33.904 -97.589
33.91 -97.594
33.914 -97.596
33.917 -97.597
33.918 -97.597
33.92 -97.597
33.922 -97.596
33.923 -97.595
33.928 -97.592
33.93 -97.591
33.952 -97.589
33.954 -97.59
33.968 -97.609
33.981 -97.634
33.989 -97.656
33.99 -97.66
33.991 -97.661
33.991 -97.666
33.991 -97.672
33.991 -97.673
33.987 -97.688
33.984 -97.693
33.977 -97.698
33.963 -97.704
33.955 -97.71
33.948 -97.717
33.941 -97.725
33.937 -97.732
33.936 -97.734
33.937 -97.737
33.937 -97.738
33.937 -97.743
33.937 -97.751
33.937 -97.753
33.935 -97.762
33.934 -97.763
33.931 -97.763
33.925 -97.76
33.919 -97.759
33.917 -97.76
33.916 -97.761
33.915 -97.763
33.914 -97.764
33.914 -97.765
33.914 -97.773
33.911 -97.784
33.905 -97.78
33.899 -97.78
33.896 -97.781
33.891 -97.785
33.885 -97.802
33.88 -97.803
33.877 -97.805
33.877 -97.806
33.876 -97.807
33.858 -97.833
33.858 -97.834
33.852 -97.856
33.849 -97.866
33.849 -97.871
33.85 -97.877
33.858 -97.897
33.864 -97.905
33.87 -97.918
33.877 -97.933
33.879 -97.936
33.879 -97.937
33.88 -97.938
33.88 -97.939
33.88 -97.943
33.879 -97.946
33.878 -97.951
33.879 -97.958
33.882 -97.968
33.887 -97.974
33.89 -97.978
33.897 -97.984
33.899 -97.985
33.901 -97.985
33.904 -97.984
33.911 -97.98
33.913 -97.979
33.913 -97.977
33.908 -97.973
33.906 -97.97
33.907 -97.965
33.907 -97.964
33.908 -97.963
33.91 -97.961
33.914 -97.957
33.924 -97.954
33.929 -97.953
33.933 -97.953
33.936 -97.953
33.938 -97.954
33.938 -97.956
33.936 -97.963
33.936 -97.966
33.937 -97.971
33.938 -97.972
33.94 -97.974
33.943 -97.974
33.945 -97.973
33.947 -97.966
33.952 -97.96
33.958 -97.957
33.969 -97.953
33.972 -97.952
33.988 -97.946
33.99 -97.946
33.991 -97.946
33.991 -97.948
33.99 -97.953
33.99 -97.956
33.991 -97.958
33.994 -97.963
33.995 -97.963
33.997 -97.965
34.001 -97.968
34.005 -97.972
34.007 -97.974
34.007 -97.975
34.005 -97.978
34.002 -97.983
34 -97.987
33.999 -97.989
33.997 -98
33.996 -98.006
33.994 -98.018
33.994 -98.019
33.993 -98.028
33.993 -98.041
33.995 -98.05
33.996 -98.055
34.002 -98.083
34.003 -98.085
34.005 -98.088
34.029 -98.104
34.031 -98.105
34.032 -98.105
34.034 -98.105
34.036 -98.104
34.037 -98.102
34.038 -98.098
34.039 -98.098
34.039 -98.097
34.041 -98.097
34.045 -98.096
34.049 -98.099
34.05 -98.101
34.062 -98.115
34.067 -98.118
34.072 -98.12
34.081 -98.121
34.084 -98.119
34.085 -98.119
34.087 -98.116
34.09 -98.114
34.091 -98.112
34.094 -98.108
34.097 -98.105
34.098 -98.104
34.101 -98.102
34.104 -98.1
34.104 -98.099
34.111 -98.095
34.117 -98.092
34.122 -98.091
34.128 -98.09
34.13 -98.09
34.133 -98.092
34.147 -98.102
34.153 -98.107
34.154 -98.109
34.155 -98.115
34.155 -98.123
34.151 -98.131
34.145 -98.137
34.142 -98.139
34.136 -98.143
34.123 -98.154
34.12 -98.157
34.114 -98.169
34.116 -98.191
34.117 -98.2
34.118 -98.204
34.122 -98.216
34.125 -98.224
34.127 -98.225
34.133 -98.241
34.131 -98.248
34.13 -98.255
34.129 -98.256
34.13 -98.261
34.13 -98.267
34.131 -98.28
34.133 -98.292
34.133 -98.294
34.135 -98.3
34.146 -98.319
34.15 -98.323
34.151 -98.325
34.152 -98.329
34.154 -98.342
34.157 -98.364
34.156 -98.367
34.156 -98.368
34.149 -98.381
34.146 -98.384
34.128 -98.398
34.122 -98.401
34.122 -98.4
34.121 -98.398
34.105 -98.398
34.104 -98.399
34.1 -98.4
34.099 -98.401
34.085 -98.414
34.083 -98.418
34.083 -98.419
34.082 -98.42
34.083 -98.422
34.085 -98.425
34.086 -98.428
34.086 -98.431
34.086 -98.432
34.085 -98.435
34.084 -98.439
34.084 -98.44
34.084 -98.441
34.083 -98.442
34.083 -98.443
34.082 -98.444
34.08 -98.445
34.079 -98.446
34.077 -98.446
34.075 -98.446
34.073 -98.449
34.068 -98.464
34.064 -98.475
34.062 -98.482
34.062 -98.483
34.062 -98.484
34.063 -98.486
34.063 -98.487
34.072 -98.504
34.095 -98.528
34.1 -98.531
34.107 -98.536
34.119 -98.551
34.128 -98.559
34.133 -98.56
34.145 -98.572
34.149 -98.577
34.161 -98.6
34.16 -98.604
34.158 -98.609
34.157 -98.61
34.157 -98.612
34.156 -98.616
34.156 -98.617
34.157 -98.618
34.157 -98.621
34.157 -98.622
34.16 -98.631
34.161 -98.634
34.162 -98.636
34.165 -98.643
34.164 -98.648
34.163 -98.651
34.158 -98.656
34.136 -98.686
34.133 -98.69
34.134 -98.697
34.135 -98.706
34.136 -98.716
34.136 -98.718
34.136 -98.73
34.136 -98.734
34.135 -98.735
34.133 -98.737
34.131 -98.737
34.127 -98.739
34.127 -98.74
34.126 -98.742
34.124 -98.749
34.124 -98.75
34.124 -98.754
34.125 -98.757
34.127 -98.76
34.129 -98.759
34.132 -98.761
34.134 -98.762
34.135 -98.764
34.136 -98.765
34.136 -98.766
34.137 -98.768
34.138 -98.773
34.14 -98.779
34.144 -98.792
34.154 -98.804
34.156 -98.807
34.158 -98.812
34.158 -98.813
34.162 -98.831
34.162 -98.842
34.162 -98.854
34.162 -98.855
34.162 -98.856
